,Unnamed: 0,Title,Tweet Counts,Community,Community Overlap
0,0,The FDA Continues to Remind Facilities of the Importance of Following Duodenoscope Reprocessing Instructions,9,0.0,0.15390856152134344
1,1,"The FDA Recommends Only Using Cleared or Approved Medical Devices to Help Assess or Diagnose a Head Injury, Including Concussion",14,0.0,0.15390856152134344
2,2,The FDA Warns Against Use of Previously Owned Test Strips or Test Strips Not Authorized for Sale in the United States,54,0.0,0.15390856152134344
3,3,"Cybersecurity Vulnerabilities Affecting Medtronic Implantable Cardiac Devices, Programmers, and Home Monitors",71,0.0,0.15390856152134344
4,4,UPDATE    Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Software Update for Potential Lack of Treatment (Shock) Delivery Due to Device Failure,22,0.0,0.15390856152134344
5,5,Caution When Using Robotically Assisted Surgical Devices in Women's Health including Mastectomy and Other Cancer Related Surgeries,33,2.0,0.25084100001556686
6,6,"FDA Warns Thermography Should Not Be Used in Place of Mammography to Detect, Diagnose, or Screen for Breast Cancer",127,2.0,0.25084100001556686
7,7,"Intravascular Air in Line and Air Embolism Risks Associated with Infusion Pumps, Fluid Warmers, and Rapid Infusers",11,0.0,0.15390856152134344
8,8,"FDA Warns Against Use of Teething Necklaces, Bracelets, and Other Jewelry Marketed for Relieving Teething Pain or Providing Sensory Stimulation",47,4.0,0.0
9,9,The FDA Provides Interim Results of Duodenoscope Reprocessing Studies Conducted in Real World Settings,20,0.0,0.15390856152134344
10,10,Use Caution with Implanted Pumps for Intrathecal Administration of Medicines for Pain Management,32,2.0,0.25084100001556686
11,11,The FDA Warns Against the use of Many Genetic Tests with Unapproved Claims to Predict Patient Response to Specific Medications,110,5.0,0.0
12,12,UPDATE: Potential Eye Damage from Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,15,3.0,0.6666666666666666
13,13,Increased Risk of Corneal Haze Associated with the Raindrop Near Vision Inlay (Updated 03 05 19),36,2.0,0.25084100001556686
14,14,Updated Information To Reduce Potential Cardiac Surgery Infection Risks Associated With the LivaNova 3T Heater Cooler Systems,9,0.0,0.15390856152134344
15,15,Cybersecurity Updates Affecting Medtronic Implantable Cardiac Device Programmers,135,1.0,0.31119265823789555
16,16,Caution When Using Pen Needles to Inject Medicines,44,0.0,0.15390856152134344
17,17,"Mammography Problems at Aims Diagnostic Imaging in Manahawkin, NJ",1,1.0,0.31119265823789555
18,18,Potential Eye Damage From Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,23,3.0,0.6666666666666666
19,19,FDA Warns Against Use of Energy Based Devices to Perform Vaginal 'Rejuvenation' or Vaginal Cosmetic Procedures,91,6.0,0.0
20,20,UPDATE: Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,28,1.0,0.31119265823789555
21,21,Update: Availability of Deep Cleaning Service of Certain LivaNova PLC (formerly Sorin Group Deutschland GmbH) Stӧckert 3T Heater Cooler Systems in the U.S.,3,1.0,0.31119265823789555
22,22,Recommendations to Reduce Surgical Fires and Related Patient Injury,450,1.0,0.31119265823789555
23,23,Battery Performance Alert and Cybersecurity Firmware Updates for Certain Abbott (formerly St. Jude Medical) Implantable Cardiac Devices,94,7.0,0.0
24,24,UPDATE: Use of Custom Ultrasonics System 83 Plus Automated Endoscope Reprocessors (AERs) for Reprocessing of Certain Duodenoscopes,1,0.0,0.15390856152134344
25,25,Updated Status of Pentax Medical Duodenoscope Model ED 3490TK,20,1.0,0.31119265823789555
26,26,Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Potential Lack of Treatment (Shock) Delivery Due to Device Failure,62,0.0,0.15390856152134344
27,27,"Problem with Quality of Mammograms at Palm Beach Broward Medical Imaging Center in Deerfield Beach, Florida",17,8.0,0.0
28,28,The FDA Warns that Biotin May Interfere with Lab Tests,272,1.0,0.31119265823789555
29,29,FDA Warns Against Use of Injectable Silicone for Body Contouring and Enhancement,248,9.0,0.0
30,30,The FDA Recommends Against Using Laserworld and Ray Technologies International Laser Projectors,8,10.0,0.0
31,31,Firmware Update to Address Cybersecurity Vulnerabilities Identified in Abbott's (formerly St. Jude Medical's) Implantable Cardiac Pacemakers,10,1.0,0.31119265823789555
32,32,"Updated Status of FUJIFILM Medical Systems, U.S.A., Inc. Model ED 530XT Duodenoscopes",4,2.0,0.25084100001556686
33,34,FDA Warns Against Using Magellan Diagnostics LeadCare Testing Systems with Blood Obtained from a Vein,40,1.0,0.31119265823789555
34,35,"FDA Warns Of Potentially Contaminated SPS 1 Static Preservation Solution Distributed by Organ Recovery Systems, Inc.",11,3.0,0.6666666666666666
35,36,FDA concern over experimental procedures that use balloon angioplasty devices to treat autonomic dysfunction,38,0.0,0.15390856152134344
36,37,UPDATE: Importance of Following Validated Reprocessing Instructions for PENTAX ED 3490TK Video Duodenoscopes,9,2.0,0.25084100001556686
37,38,"FUJIFILM Medical Systems, U.S.A., Inc. removes certain older duodenoscope models from clinical use",10,0.0,0.15390856152134344
38,39,Safety Concerns with Implantable Infusion Pumps in the Magnetic Resonance (MR) Environment,45,0.0,0.15390856152134344
39,40,Cybersecurity Vulnerabilities Identified in St. Jude Medical's Implantable Cardiac Devices and Merlin@home Transmitter,2,2.0,0.25084100001556686
