Title,Keywords,Start_Date
Controlled Substance Lock-In Programs: Examining An Unintended Consequence Of A Prescription Drug Abuse Policy,EXAMINING UNINTENDED CONSEQUENCE PRESCRIPTION,
A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,PROMISING DEPARTMENTS BEHAVIORAL DISORDERS,
Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION OPIOID DISORDERS SUBSTANCE,
Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians,PRESCRIPTION REDUCTIONS OPIOID PRESCRIBING,
"Individual Placement And Support Services Boost Employment For People With Serious Mental Illnesses, But Funding Is Lacking",PLACEMENT BOOST ILLNESSES LACKING,
Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,INNOVATIVE REDUCED INPATIENT HOSPITALIZATIONS,
A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,PROMISING DEPARTMENTS BEHAVIORAL DISORDERS,
Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,TRANSITIONAL READMISSIONS MEDICAID CHRONIC,
An Electronic Health Recordâ€“Based Real-Time Analytics Program For Patient Safety Surveillance And Improvement,ELECTRONIC ANALYTICS SURVEILLANCE IMPROVEMENT,
Legacy Healthâ€™s â€˜Big Aimsâ€™ Initiative To Improve Patient Safety Reduced Rates Of Infection And Mortality Among Patients,LEGACY INITIATIVE INFECTION MORTALITY,
Medication Synchronization Programs Improve Adherence To Cardiovascular Medications And Health Care Use,SYNCHRONIZATION ADHERENCE CARDIOVASCULAR MEDICATIONS,
The Large Social Value Resulting From Use Of Statins Warrants Steps To Improve Adherence And Broaden Treatment,STATINS WARRANTS ADHERENCE BROADEN,
"Michigan Oncology Practices Showed Varying Adherence Rates To Practice Guidelines, But Quality Interventions Improved Care",ONCOLOGY VARYING ADHERENCE INTERVENTIONS,
An Integrated Pharmacy-Based Program Improved Medication Prescription And Adherence Rates In Diabetes Patients,PHARMACY MEDICATION PRESCRIPTION ADHERENCE,
The Effect Of The Hospital Readmissions Reduction Program On Readmission And Observation Stay Rates For Heart Failure,READMISSIONS REDUCTION READMISSION OBSERVATION,
Reducing Hospital Readmissions Through Preferred Networks Of Skilled Nursing Facilities,REDUCING READMISSIONS PREFERRED SKILLED NURSING,
Hospitals With Higher Nurse Staffing Had Lower Odds Of Readmissions Penalties Than Hospitals With Lower Staffing,STAFFING ODDS READMISSIONS PENALTIES,
Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,TRANSITIONAL READMISSIONS MEDICAID CHRONIC,
Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,INNOVATIVE REDUCED INPATIENT HOSPITALIZATIONS,
Association Of A Regional Health Improvement Collaborative With Ambulatory Careâ€“Sensitive Hospitalizations,IMPROVEMENT COLLABORATIVE AMBULATORY HOSPITALIZATIONS,
Initiative To Reduce Avoidable Hospitalizations Among Nursing Facility Residents Shows Promising Results,AVOIDABLE HOSPITALIZATIONS NURSING PROMISING,
Results From A Patient-Centered Medical Home Pilot At UPMC Health Plan Hold Lessons For Broader Adoption Of The Model,CENTERED UPMC BROADER ADOPTION,
Home-Based Care Program Reduces Disability And Promotes Aging In Place,REDUCES DISABILITY PROMOTES AGING,
Advance Directives And Nursing Home Stays Associated With Less Aggressive End-Of-Life Care For Patients With Severe Dementia,DIRECTIVES NURSING STAYS DEMENTIA,
Integrated Telehealth And Care Management Program For Medicare Beneficiaries With Chronic Disease Linked To Savings,TELEHEALTH MEDICARE BENEFICIARIES CHRONIC,
Remote Patient Management: Technology-Enabled Innovation And Evolving Business Models For Chronic Disease Care,ENABLED INNOVATION EVOLVING CHRONIC,
What Works In Chronic Care Management: The Case Of Heart Failure,CHRONIC MANAGEMENT HEART FAILURE,
"How Kaiser Permanente Uses Video Ethnography Of Patients For Quality Improvement, Such As In Shaping Better Care Transitions",KAISER PERMANENTE ETHNOGRAPHY TRANSITIONS,
Coordination Program Reduced Acute Care Use And Increased Primary Care Visits Among Frequent Emergency Care Users,COORDINATION ACUTE VISITS FREQUENT,
Healthy Aging Brain Center Improved Care Coordination And Produced Net Savings,AGING IMPROVED COORDINATION SAVINGS,
Case Studies Of Orthopedic Surgery In California: The Virtues Of Care Coordination Versus Specialization,ORTHOPEDIC VIRTUES COORDINATION SPECIALIZATION,
Improving The Coordination Of Care For Medicaid Beneficiaries In Pennsylvania,COORDINATION MEDICAID BENEFICIARIES PENNSYLVANIA,
The Effect Of A Newborn Telehealth Program On Transfers Avoided: A Multiple-Baseline Study,NEWBORN TELEHEALTH TRANSFERS BASELINE,
